time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-31T23:47:57.346Z,59.8098,-153.5637,129.2,2.5,ml,,,,0.36,ak,ak021gs14u6z,2022-03-05T23:11:00.040Z,"30 km E of Pedro Bay, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2021-12-31T23:10:35.635Z,54.6316,-163.3762,19.98,3.4,mb,,165,0.226,0.96,us,us7000gazr,2022-03-05T23:11:13.040Z,"24 km S of False Pass, Alaska",earthquake,5.8,8.6,0.22,5,reviewed,us,us
2021-12-31T23:10:23.150Z,51.4776,-177.7779,39.2,2.1,ml,,,,0.4,ak,ak021gs0wu3k,2022-01-27T21:04:19.995Z,"90 km WSW of Adak, Alaska",earthquake,,1.1,,,reviewed,ak,ak
2021-12-31T21:45:56.837Z,51.221,-177.0174,35,2.7,ml,,224,0.558,0.44,us,us7000gfn6,2022-03-05T23:11:15.040Z,"77 km SSW of Adak, Alaska",earthquake,4.9,2,0.148,6,reviewed,us,us
2021-12-31T21:45:21.532Z,59.9107,-153.3637,135.7,2.2,ml,,,,0.37,ak,ak021grzxgs4,2022-01-27T21:04:18.480Z,"43 km ENE of Pedro Bay, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2021-12-31T15:39:58.723Z,60.045,-152.675,93.7,2,ml,,,,0.39,ak,ak021grwbnq9,2022-01-27T21:04:13.851Z,"53 km WNW of Happy Valley, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2021-12-31T15:17:04.927Z,60.1178,-139.4747,10.7,3.1,ml,,,,0.62,ak,ak021grw6tsw,2022-03-05T23:11:00.040Z,"65 km NNE of Yakutat, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2021-12-31T14:59:08.657Z,60.152,-139.3396,3.6,3.6,ml,,,,0.55,ak,ak021grvuepx,2022-03-05T23:10:59.040Z,"70 km NNE of Yakutat, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2021-12-31T13:33:41.170Z,56.8328,-152.96,45,2.6,ml,,,,0.39,ak,ak021grv3h2r,2022-03-05T23:10:59.040Z,"46 km SSE of Old Harbor, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2021-12-31T13:33:03.951Z,57.1209,-155.0093,46.3,2,ml,,,,0.28,ak,ak021grv3eg4,2022-01-27T21:04:11.108Z,"54 km WNW of Akhiok, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2021-12-31T08:29:02.764Z,53.761,-165.0818,50.2,2.1,ml,,,,0.31,ak,ak021grs3d2c,2022-01-27T21:04:22.884Z,"61 km SE of Akutan, Alaska",earthquake,,4.2,,,reviewed,ak,ak
2021-12-31T07:54:01.653Z,55.3103,163.3125,10,4.2,mb,,99,3.572,0.57,us,us7000g850,2022-03-05T23:10:59.040Z,"114 km SSE of Ust’-Kamchatsk Staryy, Russia",earthquake,11.6,1.9,0.1,28,reviewed,us,us
2021-12-31T07:39:04.570Z,59.9821,-151.8879,79.3,2.5,ml,,,,0.5,ak,ak021grrk2pm,2022-03-05T23:10:59.040Z,"9 km WNW of Happy Valley, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2021-12-30T20:47:46.467Z,54.5148,-161.8919,35,2.9,ml,,204,0.521,0.93,us,us7000gg9j,2022-03-05T23:11:15.040Z,"66 km SSE of King Cove, Alaska",earthquake,2.1,2,0.115,10,reviewed,us,us
2021-12-30T18:28:07.772Z,60.1227,-152.7726,111.9,2.4,ml,,,,0.42,ak,ak021gqai58u,2022-03-05T23:10:57.040Z,"61 km WNW of Happy Valley, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2021-12-30T17:50:17.100Z,61.9004,-151.0419,67.9,2,ml,,,,0.44,ak,ak021gqa1g4h,2022-01-29T18:13:52.472Z,"21 km ESE of Skwentna, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2021-12-30T15:16:18.693Z,59.0867,-149.9916,1.3,2.5,ml,,,,0.58,ak,ak021gq8nahn,2022-03-05T23:10:56.040Z,"90 km SE of Halibut Cove, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2021-12-30T13:24:36.748Z,57.2635,-155.0039,58.6,5,ml,,,,0.66,ak,ak021gq7i6k6,2022-12-30T13:34:41.224Z,"47 km SW of Karluk, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2021-12-30T11:13:19.358Z,50.48,177.0485,30.92,3.6,ml,,222,1.686,0.32,us,us7000g82j,2022-03-05T23:10:57.040Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,9.4,9.4,0.085,18,reviewed,us,us
2021-12-30T10:33:21.762Z,60.4733,-151.7943,72.6,2.1,ml,,,,0.55,ak,ak021gq5rs35,2022-01-29T18:13:46.293Z,"28 km WNW of Kalifornsky, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2021-12-30T09:22:05.878Z,54.3216,-161.7735,21.17,2.7,ml,,200,0.725,0.57,us,us7000gg9l,2022-03-05T23:11:15.040Z,"89 km SSE of King Cove, Alaska",earthquake,3.5,12.1,0.097,14,reviewed,us,us
2021-12-30T05:34:34.461Z,58.2459,-156.0462,151.7,2.6,ml,,,,0.51,ak,ak021gq2surj,2022-03-05T23:10:55.040Z,"60 km SE of King Salmon, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2021-12-30T05:30:53.331Z,61.542,-147.8307,26.9,2,ml,,,,0.57,ak,ak021gq2s1a2,2022-01-29T18:13:42.012Z,"31 km SSW of Glacier View, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2021-12-30T04:47:28.158Z,60.3585,-153.0581,136,2,ml,,,,0.53,ak,ak021gq2a6w9,2022-01-29T18:13:41.070Z,"71 km ENE of Port Alsworth, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2021-12-30T04:40:23.685Z,55.6959,-156.2634,26.5,2.1,ml,,,,0.49,ak,ak021gq28on4,2022-01-29T18:14:01.266Z,"149 km ESE of Chignik, Alaska",earthquake,,3.2,,,reviewed,ak,ak
2021-12-30T02:03:49.943Z,51.4143,-176.2644,35,3.2,ml,,218,0.456,0.42,us,us7000gg9h,2022-03-05T23:11:15.040Z,"57 km SSE of Adak, Alaska",earthquake,2.3,2,0.115,10,reviewed,us,us
2021-12-30T02:01:01.694Z,51.3779,-176.2542,35,3.4,ml,,221,0.493,0.49,us,us7000gg9g,2022-03-05T23:11:15.040Z,"61 km SSE of Adak, Alaska",earthquake,2.9,2,0.128,8,reviewed,us,us
2021-12-29T23:31:59.151Z,58.1506,-151.6205,26.6,2.3,ml,,,,0.42,ak,ak021gopypu5,2022-01-28T18:15:34.865Z,"57 km ENE of Ouzinkie, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2021-12-29T22:50:32.060Z,54.5398,170.5883,10,4.3,mb,,115,2.767,0.63,us,us7000g7u4,2022-03-05T23:10:54.040Z,"254 km NW of Attu Station, Alaska",earthquake,5,1.9,0.075,51,reviewed,us,us
2021-12-29T18:05:23.510Z,56.7308,-153.1307,6.8,3.7,ml,,,,0.6,ak,ak021gomtwfm,2022-03-05T23:10:53.040Z,"53 km SSE of Old Harbor, Alaska",earthquake,,1.5,,,reviewed,ak,ak
2021-12-29T18:02:25.776Z,59.6945,-153.3362,123,2.2,ml,,,,0.38,ak,ak021gomt9io,2022-03-05T23:10:53.040Z,"44 km ESE of Pedro Bay, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2021-12-29T17:26:53.307Z,51.9878,-176.3568,141.5,2,ml,,,,0.14,ak,ak021gomd19b,2022-01-29T02:59:37.099Z,"22 km ENE of Adak, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2021-12-29T16:35:23.363Z,54.749,170.5635,10,4.5,mb,,133,15.543,0.78,us,us6000gg5m,2022-03-05T23:10:53.040Z,"273 km NW of Attu Station, Alaska",earthquake,12.2,1.9,0.048,126,reviewed,us,us
2021-12-29T15:20:24.478Z,52.3033,-174.707,188.38,3.5,ml,,177,0.285,0.27,us,us7000gfz2,2022-03-05T23:11:15.040Z,"36 km WNW of Atka, Alaska",earthquake,19.5,2.7,0.105,12,reviewed,us,us
2021-12-29T15:00:13.503Z,62.085,-148.0229,24,2.8,ml,,,,0.61,ak,ak021gol0ib3,2022-03-05T23:10:52.040Z,"36 km NNW of Glacier View, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2021-12-29T14:29:59.873Z,54.3343,170.7003,10,3.7,mb,,139,2.588,0.74,us,us7000gal0,2022-03-05T23:11:09.040Z,"233 km NW of Attu Station, Alaska",earthquake,11.3,2,0.152,11,reviewed,us,us
2021-12-29T11:28:26.204Z,51.2596,-178.6525,33.62,3.1,ml,,207,0.311,0.52,us,us7000gfz0,2022-03-05T23:11:15.040Z,"155 km WSW of Adak, Alaska",earthquake,4.5,8.2,0.091,16,reviewed,us,us
2021-12-29T11:24:53.649Z,61.0456,-148.7859,10,2.8,ml,,,,0.67,ak,ak021gois06k,2022-03-05T23:10:52.040Z,"23 km ENE of Girdwood, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2021-12-29T09:50:52.401Z,54.3866,170.5274,10,4.3,mb,,60,2.7,0.67,us,us6000gg31,2022-03-05T23:10:51.040Z,"245 km NW of Attu Station, Alaska",earthquake,3.8,1.9,0.088,37,reviewed,us,us
