time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-31T19:57:28.787Z,-19.3919,-69.9532,73.49,4.1,mb,,131,0.462,0.49,us,us7000g87p,2022-03-05T23:11:00.040Z,"93 km NNE of Iquique, Chile",earthquake,4.9,4.2,0.165,10,reviewed,us,us
2021-12-31T17:17:58.927Z,-5.5529,-76.1681,111.01,4.5,mb,,54,2.714,0.63,us,us7000g871,2022-03-05T23:11:00.040Z,"38 km N of Yurimaguas, Peru",earthquake,6.9,4.5,0.054,105,reviewed,us,us
2021-12-31T15:54:09.780Z,-24.1668,-69.6267,96.34,4.1,mb,,101,0.843,0.82,us,us7000g86n,2022-03-05T23:11:00.040Z,"96 km SE of Antofagasta, Chile",earthquake,5.5,8.7,0.185,8,reviewed,us,us
2021-12-31T15:35:30.102Z,-8.1573,-74.482,158.91,4.5,mb,,79,1.81,0.89,us,us7000g86k,2022-03-05T23:11:00.040Z,"25 km NNE of Pucallpa, Peru",earthquake,8.2,2.7,0.085,41,reviewed,us,us
2021-12-30T16:37:35.047Z,-19.6455,-69.2265,102.07,4.9,mwr,,60,0.038,0.72,us,us7000g805,2022-03-05T23:10:56.040Z,"115 km ENE of Iquique, Chile",earthquake,5.1,3.9,0.05,39,reviewed,us,us
2021-12-30T04:06:45.319Z,-37.7422,-74.3913,10,4.1,mb,,199,1.379,0.39,us,us7000g7vx,2022-03-05T23:10:55.040Z,"66 km WSW of Lebu, Chile",earthquake,8.1,1.8,0.261,6,reviewed,us,us
2021-12-29T08:12:09.236Z,-7.9403,-75.5357,47,4.6,mb,,88,2.812,0.82,us,us7000gaka,2022-03-05T23:11:08.040Z,"88 km SW of Contamana, Peru",earthquake,2.9,7.8,0.122,22,reviewed,us,us
2021-12-27T19:04:14.445Z,-21.1775,-68.6925,113.5,4.2,mb,,69,0.754,0.26,us,us6000gfnp,2022-03-05T23:10:46.040Z,"143 km N of Calama, Chile",earthquake,5.6,7.1,0.371,2,reviewed,us,us
2021-12-27T13:01:04.080Z,-31.294,-69.3336,109.05,4.5,mb,,66,0.609,0.77,us,us6000gflt,2022-03-05T23:10:45.040Z,"9 km ENE of Calingasta, Argentina",earthquake,4.6,5.8,0.314,3,reviewed,us,us
2021-12-26T19:04:56.269Z,-34.5327,-70.4468,123.48,4.4,mb,,91,0.378,0.4,us,us6000gfhr,2022-08-06T16:27:37.732Z,"40 km ESE of Rengo, Chile",earthquake,5.8,5.5,0.154,13,reviewed,us,us
2021-12-25T02:25:49.453Z,-16.6687,-72.9186,49.9,4.3,mb,,106,2.984,1.14,us,us6000gf51,2022-03-05T23:10:38.040Z,"21 km WSW of El Cardo, Peru",earthquake,8.7,7.3,0.116,23,reviewed,us,us
2021-12-24T22:10:48.163Z,-9.2598,-79.161,53.11,4.7,mb,,127,3.541,0.83,us,us6000gf4g,2022-03-05T23:10:38.040Z,"63 km WSW of Puerto Santa, Peru",earthquake,9.3,7,0.078,50,reviewed,us,us
2021-12-24T17:42:51.752Z,-22.3226,-68.5827,110.4,4.7,mwr,,34,0.729,0.81,us,us6000gf2r,2022-03-05T23:10:37.040Z,"38 km ENE of Calama, Chile",earthquake,5.1,5,,,reviewed,us,guc
2021-12-24T07:45:14.302Z,-37.7734,-75.2744,10,4.5,mb,,154,1.952,0.98,us,us6000gf0f,2022-03-05T23:10:36.040Z,"144 km W of Lebu, Chile",earthquake,3.6,1.9,0.163,11,reviewed,us,us
2021-12-23T23:02:30.214Z,-6.4593,-82.1218,10,4.7,mb,,76,3.543,0.56,us,us6000gexr,2022-03-01T16:40:00.040Z,"175 km SW of Sechura, Peru",earthquake,8.1,1.8,0.042,172,reviewed,us,us
2021-12-23T11:02:01.417Z,-17.758,-69.856,157.62,4.3,mb,,192,0.395,0.35,us,us6000get0,2022-03-01T16:39:50.040Z,"11 km E of Palca, Peru",earthquake,11.4,7.4,0.267,4,reviewed,us,us
2021-12-22T23:21:46.085Z,-25.52,-70.3898,52.54,4.5,mwr,,71,0.653,1.06,us,us6000gepl,2022-03-01T16:39:33.040Z,"Near the coast of Antofagasta, Chile",earthquake,4.3,3.1,0.046,45,reviewed,us,us
2021-12-22T21:53:48.652Z,-20.3371,-70.1886,34.05,2.7,ml,,173,0.085,0.61,us,us6000genv,2022-03-01T16:39:31.040Z,"14 km SSW of Iquique, Chile",earthquake,2.9,9.6,0.069,28,reviewed,us,us
2021-12-22T19:16:03.428Z,-15.4319,-73.9816,72.71,4.4,mb,,105,4.41,0.69,us,us6000gemq,2022-03-01T16:39:29.040Z,"27 km NNE of Tocota, Peru",earthquake,10,8.5,0.189,8,reviewed,us,us
2021-12-22T18:20:31.893Z,-29.5561,-71.3964,35,4.1,ml,,179,0.386,0.97,us,us6000gemg,2022-08-06T16:43:28.745Z,"41 km NNW of La Serena, Chile",earthquake,4.2,2,0.047,60,reviewed,us,us
2021-12-22T08:14:27.687Z,-5.6408,-80.7156,64.55,4.4,mb,,186,2.177,0.95,us,us7000g986,2022-03-01T16:39:19.040Z,"15 km SE of Sechura, Peru",earthquake,10.1,10.7,0.143,14,reviewed,us,us
2021-12-22T03:51:29.340Z,-30.0282,-71.6587,25.23,4.6,mb,,174,0.38,0.58,us,us6000gedu,2022-03-01T16:39:14.040Z,"31 km WSW of Coquimbo, Chile",earthquake,4.3,8.6,0.206,7,reviewed,us,us
2021-12-21T14:46:06.189Z,-30.7013,-71.3691,41.39,4.5,mb,,93,0.23,0.39,us,us6000ge5v,2022-08-06T16:51:34.722Z,"19 km SW of Ovalle, Chile",earthquake,5.9,1.5,0.131,18,reviewed,us,us
2021-12-20T01:26:33.488Z,-28.9348,-70.7569,110.01,4.2,mb,,135,0.09,0.51,us,us6000gdpk,2022-03-01T16:38:04.040Z,"39 km S of Vallenar, Chile",earthquake,5.2,9.1,0.236,5,reviewed,us,us
2021-12-19T21:35:39.136Z,-22.0559,-70.3315,36.76,4.7,mwr,,131,0.536,0.45,us,us6000gdnk,2022-03-01T16:38:02.040Z,"14 km WNW of Tocopilla, Chile",earthquake,3.6,5,0.042,55,reviewed,us,us
2021-12-19T11:17:24.648Z,-21.7512,-68.5642,107.33,4.4,mwr,,43,1.112,0.6,us,us6000gdl2,2022-03-01T16:37:54.040Z,"86 km NNE of Calama, Chile",earthquake,6.3,5.7,0.069,20,reviewed,us,us
2021-12-19T08:32:25.987Z,-4.7063,-77.7356,73,4.1,mb,,123,2.594,0.84,us,us6000gdk5,2022-03-01T16:37:52.040Z,"115 km N of Yambrasbamba, Peru",earthquake,7.4,12.6,0.145,13,reviewed,us,us
2021-12-19T05:29:56.835Z,-27.1996,-71.5656,10,4.3,mb,,164,0.632,0.64,us,us6000gdiy,2022-03-01T16:37:49.040Z,"123 km W of Copiapó, Chile",earthquake,4.5,1.9,0.169,11,reviewed,us,us
2021-12-17T04:37:45.031Z,-20.4536,-69.8066,43.73,2.8,ml,,115,0.367,0.66,us,us6000gd0y,2022-03-01T16:36:59.040Z,"44 km SE of Iquique, Chile",earthquake,2.8,14.6,0.071,26,reviewed,us,us
2021-12-17T00:52:17.910Z,-24.5088,-71.1826,10,4.3,mb,,139,1.145,0.49,us,us6000gczz,2022-03-01T16:36:57.040Z,"121 km NW of Taltal, Chile",earthquake,8.1,1.9,0.218,6,reviewed,us,us
2021-12-16T21:28:29.558Z,-43.3594,-76.2935,10,4.6,mb,,155,2.859,0.89,us,us6000gcxd,2022-02-24T21:02:05.040Z,"219 km W of Quellón, Chile",earthquake,8.4,1.9,0.098,31,reviewed,us,us
2021-12-16T13:48:23.020Z,-21.9821,-68.7075,125.51,4.6,mb,,35,0.529,0.92,us,us6000gcrx,2022-02-24T21:01:46.040Z,"57 km NNE of Calama, Chile",earthquake,5.6,5.3,0.1,30,reviewed,us,us
2021-12-16T13:28:50.553Z,-20.7756,-69.1699,111.51,4.5,mb,,51,0.398,0.74,us,us6000gcrw,2022-02-24T21:01:46.040Z,"119 km ESE of Iquique, Chile",earthquake,5.4,3.6,0.125,19,reviewed,us,us
2021-12-16T01:00:25.541Z,-31.2192,-70.4613,113.32,4,mb,,74,0.426,0.32,us,us6000gclj,2022-02-24T21:01:30.040Z,"75 km SE of Monte Patria, Chile",earthquake,3.6,7.1,0.232,5,reviewed,us,us
2021-12-15T14:10:29.850Z,-21.0936,-68.7218,136.47,4.1,mb,,80,0.716,0.4,us,us6000gce7,2022-02-24T21:01:08.040Z,"152 km N of Calama, Chile",earthquake,5.4,4.9,0.175,9,reviewed,us,us
2021-12-15T03:05:30.871Z,-28.6512,-71.589,36.28,3.7,mwr,,172,0.635,0.66,us,us6000gcbl,2022-02-24T21:00:59.040Z,"81 km W of Vallenar, Chile",earthquake,6.2,1.7,0.073,18,reviewed,us,us
2021-12-14T22:12:32.188Z,-40.2514,-74.8312,10,4.1,mwr,,91,1.545,0.94,us,us6000gc9t,2022-02-24T21:00:54.040Z,"126 km WSW of Corral, Chile",earthquake,5.9,1.8,0.059,28,reviewed,us,us
2021-12-14T08:40:17.214Z,-21.0794,-68.8281,105.61,4.2,mb,,98,0.616,0.59,us,us6000gc4r,2022-02-24T21:00:44.040Z,"152 km N of Calama, Chile",earthquake,4.7,6.2,0.215,6,reviewed,us,us
2021-12-14T04:23:55.138Z,-28.6861,-71.5555,17.79,5.5,mwr,,65,0.64,0.66,us,us6000gc3k,2022-08-06T17:29:27.343Z,"78 km W of Vallenar, Chile",earthquake,4.2,3.3,,,reviewed,us,guc
2021-12-13T17:51:38.820Z,-15.8511,-74.8891,35,4.4,mb,,112,4.283,0.59,us,us6000gbxz,2022-02-24T21:00:34.040Z,"55 km SSW of Acarí, Peru",earthquake,3.4,1.9,0.138,15,reviewed,us,us
2021-12-13T13:28:45.519Z,-4.3694,-75.7891,98.98,4.5,mb,,150,9.269,1.22,us,us6000gbvm,2022-02-24T21:00:32.040Z,"northern Peru",earthquake,13.5,5.8,0.128,21,reviewed,us,us
2021-12-12T00:26:13.096Z,-36.8833,-73.5292,26.7,4.4,mb,,181,0.303,0.55,us,us6000gbix,2022-02-24T21:00:05.040Z,"38 km WNW of Coronel, Chile",earthquake,6.6,6.5,0.203,7,reviewed,us,us
2021-12-11T22:34:07.741Z,-20.9052,-69.0747,116.34,4.1,mb,,65,0.409,0.63,us,us6000gbig,2022-02-24T21:00:03.040Z,"135 km SE of Iquique, Chile",earthquake,5.2,5.7,0.174,9,reviewed,us,us
2021-12-11T14:54:19.098Z,-29.527,-71.2992,45,5.7,mww,,33,0.393,0.84,us,us6000gbfe,2022-08-06T17:42:53.505Z,"42 km N of La Serena, Chile",earthquake,4.2,1.9,0.058,29,reviewed,us,us
2021-12-11T00:55:09.964Z,-30.3866,-72.7459,10,4.1,mb,,138,1,0.95,us,us6000gbc1,2022-02-24T20:59:44.040Z,"143 km WSW of Coquimbo, Chile",earthquake,3.9,1.5,0.198,7,reviewed,us,us
2021-12-10T18:59:33.440Z,-17.6673,-70.6588,95.98,4.6,mb,,140,0.761,0.67,us,us6000gb9f,2022-02-24T20:59:42.040Z,"12 km ESE of Locumba, Peru",earthquake,5.6,5.4,0.074,60,reviewed,us,us
2021-12-10T09:09:12.386Z,-16.956,-70.0887,172.14,4.2,mb,,133,0.857,0.66,us,us6000gb4c,2022-02-24T20:59:35.040Z,"35 km NE of Pujocucho, Peru",earthquake,7.6,5.5,0.112,22,reviewed,us,us
2021-12-09T21:40:40.406Z,-10.4798,-74.4948,125.83,4.3,mb,,121,2.747,0.62,us,us6000gazw,2022-02-12T23:07:23.040Z,"64 km NE of Santa Rosa, Peru",earthquake,8.7,16.8,0.187,8,reviewed,us,us
2021-12-09T04:48:57.438Z,-15.7337,-71.841,111.17,4.4,mb,,127,2.92,0.94,us,us6000gar5,2022-02-12T23:07:07.040Z,"12 km SW of Maca, Peru",earthquake,8.1,7,0.101,28,reviewed,us,us
2021-12-08T06:03:51.060Z,-16.7288,-69.453,194.96,4.3,mb,,95,0.856,1.03,us,us6000gadd,2022-02-12T23:06:37.040Z,"28 km E of Mazo Cruz, Peru",earthquake,7.9,6.1,0.111,23,reviewed,us,us
2021-12-07T11:46:31.278Z,-18.667,-70.9087,35,4.3,mwr,,138,0.553,0.69,us,us6000ga1x,2022-02-12T23:06:23.040Z,"67 km WSW of Arica, Chile",earthquake,5.8,1.9,0.047,44,reviewed,us,us
2021-12-07T09:43:17.878Z,-18.4913,-71.1254,35,4.5,mb,,123,0.753,0.86,us,us6000ga0a,2022-02-12T23:06:23.040Z,"87 km W of Arica, Chile",earthquake,7,2,0.192,10,reviewed,us,us
