time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-31T16:05:01.790Z,36.7211667,-121.3741667,1.8,2.1,md,46,59,,0.1,nc,nc73670221,2022-01-05T19:04:11.411Z,"9km SSW of Tres Pinos, CA",earthquake,0.19,0.46,0.183,52,reviewed,nc,nc
2021-12-31T11:24:49.930Z,38.0515,-118.7698333,9.5,2.55,md,40,67,0.2888,0.11,nc,nc73670166,2022-03-05T23:10:59.040Z,"28km SE of Bodie, CA",earthquake,0.25,1.58,0.257,44,reviewed,nc,nc
2021-12-30T19:55:34.910Z,38.8246667,-122.85,2.23,2.35,md,68,47,0.006089,0.06,nc,nc73669291,2022-01-05T04:10:11.431Z,"10km WNW of The Geysers, CA",earthquake,0.14,0.18,0.114,46,reviewed,nc,nc
2021-12-30T18:07:07.640Z,40.2729988,-121.4720001,7.57,2.93,md,27,62,0.2247,0.22,nc,nc73669281,2022-03-05T23:10:57.040Z,"12km SE of Mineral, CA",earthquake,0.49,2.1,0.22,23,reviewed,nc,nc
2021-12-30T01:21:36.490Z,33.8143333,-118.2573333,11.07,2.16,ml,76,61,0.05316,0.3,ci,ci39898775,2022-01-19T19:39:09.680Z,"3km SE of Carson, CA",earthquake,0.21,0.37,0.226,29,reviewed,ci,ci
2021-12-30T01:06:39.400Z,33.8146667,-118.2603333,11.08,2.03,ml,49,66,0.05271,0.25,ci,ci39898767,2022-01-19T19:13:41.590Z,"3km SE of Carson, CA",earthquake,0.23,0.4,0.186,15,reviewed,ci,ci
2021-12-29T17:21:34.680Z,33.8181667,-118.2601667,10.73,2.12,ml,63,76,0.04923,0.29,ci,ci39898607,2022-01-18T16:13:19.370Z,"2km SE of Carson, CA",earthquake,0.22,0.39,0.252,22,reviewed,ci,ci
2021-12-29T15:46:43.820Z,38.8611667,-122.7925,2.58,2.49,md,71,55,0.007268,0.06,nc,nc73669146,2022-03-05T23:10:53.040Z,"7km NW of Cobb, CA",earthquake,0.13,0.18,0.126,56,reviewed,nc,nc
2021-12-29T14:32:23.100Z,40.2108333,-121.1261667,5.35,2.5,md,23,51,0.03966,0.17,nc,nc73669121,2022-03-05T23:10:52.040Z,"3km E of Prattville, CA",earthquake,0.33,0.54,0.16,22,reviewed,nc,nc
2021-12-29T09:11:39.400Z,40.2146667,-121.1248333,6.1,2.27,md,15,63,0.03656,0.15,nc,nc73669081,2021-12-30T02:39:06.343Z,"3km ENE of Prattville, CA",earthquake,0.36,0.45,0.148,14,reviewed,nc,nc
2021-12-29T04:58:20.010Z,37.7061667,-122.0135,7.2,2.29,md,98,35,0.04139,0.14,nc,nc73669046,2022-01-04T04:10:12.172Z,"4km NE of Fairview, CA",earthquake,0.15,0.21,0.121,73,reviewed,nc,nc
2021-12-29T03:11:01.452Z,38.6974,-119.5221,8,2.1,ml,22,50.58,0.111,0.1468,nn,nn00830586,2021-12-30T02:38:23.456Z,"1 km E of Topaz Lake, Nevada",earthquake,,1.3,0.3,7,reviewed,nn,nn
2021-12-28T12:06:50.810Z,37.8996667,-118.5523333,6.52,2.07,md,22,88,0.1997,0.06,nc,nc73668896,2021-12-29T23:55:10.504Z,"39km NNE of Toms Place, CA",earthquake,0.27,1.9,0.2,28,reviewed,nc,nc
2021-12-28T09:24:25.630Z,35.5003333,-118.4381667,2.94,2.14,ml,40,32,0.1647,0.19,ci,ci39897711,2021-12-28T23:22:15.540Z,"11km SSE of Bodfish, CA",earthquake,0.24,1.08,0.265,26,reviewed,ci,ci
2021-12-28T08:29:04.910Z,38.8021667,-122.7781667,1.25,2.16,md,38,45,0.01125,0.04,nc,nc73670941,2022-01-04T00:37:10.285Z,"3km NW of The Geysers, CA",earthquake,0.15,0.24,0.085,19,reviewed,nc,nc
2021-12-28T00:09:29.510Z,36.2816667,-119.7161667,19.95,2.33,md,20,59,0.3284,0.11,nc,nc73668811,2021-12-29T12:25:10.876Z,"4km SSW of Armona, CA",earthquake,0.49,0.61,0.211,28,reviewed,nc,nc
2021-12-27T17:14:45.640Z,36.0795,-121.8115,13.06,2.64,md,44,217,0.1524,0.12,nc,nc73668766,2022-03-05T23:10:45.040Z,"23km WNW of Lopez Point, CA",earthquake,0.45,0.32,0.186,44,reviewed,nc,nc
2021-12-27T17:09:16.420Z,36.562,-121.1711667,2.32,2.69,md,48,101,0.015,0.09,nc,nc73668761,2022-03-05T23:10:45.040Z,"4km NW of Pinnacles, CA",earthquake,0.27,0.12,0.251,59,reviewed,nc,nc
2021-12-27T13:55:38.960Z,36.5651667,-120.6663333,11.59,2,md,19,152,0.1411,0.06,nc,nc73668751,2021-12-29T10:27:13.173Z,"16km N of New Idria, CA",earthquake,0.45,0.99,0.249,22,reviewed,nc,nc
2021-12-27T12:28:55.430Z,33.9008333,-118.7108333,13.08,2.28,ml,73,94,0.1533,0.21,ci,ci39897103,2022-01-08T00:01:53.643Z,"15km SE of Malibu, CA",earthquake,0.22,0.55,0.118,22,reviewed,ci,ci
2021-12-27T09:12:17.560Z,37.4233333,-118.4948333,11.49,2.22,md,25,76,0.05281,0.07,nc,nc73668726,2022-01-05T01:24:10.997Z,"8km NNW of West Bishop, CA",earthquake,0.29,0.77,0.202,35,reviewed,nc,nc
2021-12-27T02:56:00.420Z,37.0676667,-121.1778333,7.05,2.14,md,55,50,0.03541,0.1,nc,nc73668691,2021-12-29T01:08:11.391Z,"26km SW of Gustine, CA",earthquake,0.2,0.28,0.165,60,reviewed,nc,nc
2021-12-26T16:38:12.630Z,37.5653333,-119.145,3.87,2.36,md,23,59,0.1025,0.07,nc,nc73668611,2021-12-26T17:57:11.058Z,"17km WSW of Mammoth Lakes, CA",earthquake,0.39,1.14,0.218,29,reviewed,nc,nc
2021-12-26T14:09:51.230Z,36.4565,-120.495,14.9,2.22,md,42,66,,0.19,nc,nc73668586,2021-12-30T22:31:10.906Z,"17km ENE of New Idria, CA",earthquake,0.27,0.78,0.154,37,reviewed,nc,nc
2021-12-26T07:53:02.590Z,36.5878333,-121.1886667,5.87,2.01,md,44,66,,0.07,nc,nc73668571,2021-12-31T02:28:10.964Z,"7km NNW of Pinnacles, CA",earthquake,0.18,0.23,0.261,38,reviewed,nc,nc
2021-12-26T07:19:46.530Z,36.5941667,-121.1905,5.64,3.22,ml,63,66,,0.1,nc,nc73668566,2022-03-05T23:10:41.040Z,"8km NNW of Pinnacles, CA",earthquake,0.14,0.24,0.134,71,reviewed,nc,nc
2021-12-26T01:51:19.020Z,36.4725,-121.048,3.47,2.19,md,30,95,,0.12,nc,nc73668536,2021-12-31T03:51:10.268Z,"11km SE of Pinnacles, CA",earthquake,0.28,0.4,0.278,26,reviewed,nc,nc
2021-12-26T00:19:34.130Z,33.8971667,-118.712,14.35,2.76,ml,84,96,0.1564,0.21,ci,ci39896439,2022-03-05T23:10:40.040Z,"15km SE of Malibu, CA",earthquake,0.23,0.51,0.207,25,reviewed,ci,ci
2021-12-25T13:44:01.380Z,34.2185,-119.5915,1.32,2.16,ml,45,134,0.1909,0.24,ci,ci39896311,2022-01-04T23:56:29.660Z,"21km SSW of Carpinteria, CA",earthquake,0.4,0.55,0.155,19,reviewed,ci,ci
2021-12-25T10:25:04.500Z,38.7495,-122.7141667,1.41,2.21,md,57,55,0.008996,0.07,nc,nc73668456,2021-12-31T02:18:10.898Z,"3km SW of Anderson Springs, CA",earthquake,0.14,0.19,0.22,28,reviewed,nc,nc
2021-12-24T03:58:46.343Z,40.1506,-119.6266,5.1,3.3,ml,29,62.8,0.083,0.1696,nn,nn00830439,2022-03-05T23:10:35.040Z,"22 km N of Sutcliffe, Nevada",earthquake,,0.9,0.37,10,reviewed,nn,nn
2021-12-24T03:43:23.572Z,38.1539,-117.931,11.2,2.1,ml,22,105.02,0.027,0.129,nn,nn00830436,2021-12-28T21:23:54.311Z,"30 km SSE of Mina, Nevada",earthquake,,0.7,0.29,9,reviewed,nn,nn
2021-12-23T23:39:44.640Z,36.718,-119.3668333,19.2,2.16,md,7,162,0.1632,0.14,nc,nc73668146,2021-12-24T02:48:10.832Z,"11km WSW of Squaw Valley, CA",earthquake,1.08,1.44,0.151,15,reviewed,nc,nc
2021-12-23T17:50:22.810Z,38.8181667,-122.7905,0.64,2.45,md,65,37,0.0091,0.08,nc,nc73668096,2022-03-01T16:39:56.040Z,"5km NNW of The Geysers, CA",earthquake,0.12,0.17,0.188,47,reviewed,nc,nc
2021-12-23T16:41:31.760Z,36.1051667,-120.1483333,8.79,2.48,md,29,157,0.1479,0.13,nc,nc73668081,2022-03-01T16:39:56.040Z,"11km N of Avenal, CA",earthquake,0.29,0.58,0.204,50,reviewed,nc,nc
2021-12-22T11:50:04.850Z,40.172,-121.4915,14.8,2.43,md,28,73,0.2756,0.17,nc,nc73667621,2021-12-23T07:48:34.467Z,"21km SSE of Mineral, CA",earthquake,0.47,0.79,0.198,25,reviewed,nc,nc
2021-12-21T22:47:48.930Z,35.519,-118.3801667,6.61,2.4,ml,59,28,0.1773,0.15,ci,ci39892927,2021-12-21T23:20:22.906Z,"13km SE of Bodfish, CA",earthquake,0.12,0.55,0.228,28,reviewed,ci,ci
2021-12-21T22:38:59.560Z,37.0171667,-119.8171667,-0.39,2.12,md,8,143,0.09047,0.03,nc,nc73667396,2022-05-27T19:27:40.125Z,"6km NE of Bonadelle Ranchos-Madera Ranchos, CA",quarry blast,0.74,31.61,0.282,33,reviewed,nc,nc
